#,title,videoUrl,videoId,publishedAt,position
1,سلسلة OSCP رجعت… بس النسخة الجديدة!,https://www.youtube.com/watch?v=VAV0Z8GGT9g&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=1,VAV0Z8GGT9g,2025-07-20T16:30:15Z,0
2,00 OSCP VS OSCP+ 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=7gXkwAmLCzI&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=2,7gXkwAmLCzI,2025-07-20T16:35:20Z,1
3,01 Introduction - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=nZjAtv6-RMg&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=3,nZjAtv6-RMg,2025-08-03T14:01:11Z,2
4,02 Defense in Depth - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=jsJ_3-QSJs4&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=4,jsJ_3-QSJs4,2025-08-04T17:30:22Z,3
5,03 Backups - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=CJ7ZPXFN35g&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=5,CJ7ZPXFN35g,2025-08-05T18:00:12Z,4
6,04 Kali Linux - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=f8P9Kle3RN4&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=6,f8P9Kle3RN4,2025-08-06T18:00:48Z,5
7,05 Kali Basics - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=x9Y_AcvVBS8&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=7,x9Y_AcvVBS8,2025-08-07T18:00:59Z,6
8,06 Bash Environment - OSCP  2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=AIN9-NXGCAc&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=8,AIN9-NXGCAc,2025-08-08T18:00:13Z,7
9,07 Piping & Redirection - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=RlMCy_9tgFc&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=9,RlMCy_9tgFc,2025-08-09T18:00:23Z,8
10,08 Text Searching & Manipulation  - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=v0k6skhEyng&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=10,v0k6skhEyng,2025-08-10T18:01:00Z,9
11,09 Managing Processes  - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=0ToPhYnzvZ0&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=11,0ToPhYnzvZ0,2025-08-11T18:00:01Z,10
12,10 Downloading Files - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=HrUrJbGl2xE&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=12,HrUrJbGl2xE,2025-08-12T18:00:23Z,11
13,11 Netcat - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=vuzqFa9nt8A&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=13,vuzqFa9nt8A,2025-08-13T18:00:50Z,12
14,12 Socat - OSCP  2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=SxXcD6mdODE&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=14,SxXcD6mdODE,2025-08-14T18:00:29Z,13
15,13 PowerShell - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=f2I0lDVAihA&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=15,f2I0lDVAihA,2025-08-14T21:00:52Z,14
16,14 Powercat - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=oaoDAlAtVzg&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=16,oaoDAlAtVzg,2025-08-16T18:00:45Z,15
17,15 Sniffing Traffic - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=5Uk1eHDPyU4&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=17,5Uk1eHDPyU4,2025-08-17T18:00:04Z,16
18,16 Bash Scripting - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=un-59bjnHV8&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=18,un-59bjnHV8,2025-08-18T18:00:52Z,17
19,"17 IF, Loops & Fucntions - OSCP 2025｜ Offensive Security Certified Professional",https://www.youtube.com/watch?v=-uh9PvAyW4E&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=19,-uh9PvAyW4E,2025-08-19T18:00:00Z,18
20,18 Scripting Exercise - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=ONBd5Lt5wgk&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=20,ONBd5Lt5wgk,2025-08-20T09:57:22Z,19
21,19 Scripting Exercise - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=hQNau05UA8I&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=21,hQNau05UA8I,2025-08-20T09:57:27Z,20
22,20 Passive Recon - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=TFiPtu24obQ&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=22,TFiPtu24obQ,2025-08-20T09:57:37Z,21
23,21 Website & User Recon - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=EZnnNpo5KN0&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=23,EZnnNpo5KN0,2025-08-20T09:57:49Z,22
24,22 Google Hacking Database GHDB - OSCP ｜ Offensive Security Certified Professional - Final,https://www.youtube.com/watch?v=Vr3s8G0j-nA&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=24,Vr3s8G0j-nA,2025-08-20T09:57:42Z,23
25,23 Whois & Subdomain Enumeration  - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=B2alGkaMSws&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=25,B2alGkaMSws,2025-08-20T09:57:55Z,24
26,24 OpenSource Code Enumeration - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=QVoQll_v53k&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=26,QVoQll_v53k,2025-08-20T09:58:36Z,25
27,25 OSINT & Maltego - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=3ymLB6wzHBE&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=27,3ymLB6wzHBE,2025-08-20T09:58:40Z,26
28,26 DNS Enumeration OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=t-5gTUSH0bs&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=28,t-5gTUSH0bs,2025-08-21T11:07:08Z,27
29,27 TCP⧸UDP Port Scanning - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=3MxktYjd43Q&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=29,3MxktYjd43Q,2025-08-20T09:58:48Z,28
30,28 Nmap TCP⧸UDP - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=WrYDpJLZCRI&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=30,WrYDpJLZCRI,2025-08-20T09:58:51Z,29
31,"29 Nmap NSE, OS & Service Enumeration - OSCP",https://www.youtube.com/watch?v=A3aSsYuQdOQ&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=31,A3aSsYuQdOQ,2025-08-20T09:58:54Z,30
32,30 SMB & Netbios Enumeration - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=ncWZFimW0ac&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=32,ncWZFimW0ac,2025-08-20T09:59:00Z,31
33,"31 NFS, SMTP & SNMP Enumeration - OSCP 2025｜ Offensive Security Certified Professional",https://www.youtube.com/watch?v=Lby0HEgJSZs&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=33,Lby0HEgJSZs,2025-08-20T09:59:03Z,32
34,32 Vulnerability Scanning with Nessus - OSCP,https://www.youtube.com/watch?v=SRRoopL8ddE&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=34,SRRoopL8ddE,2025-08-20T09:59:11Z,33
35,33 Fuzzing Directories - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=T3zEtuHCwtU&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=35,T3zEtuHCwtU,2025-08-20T09:59:15Z,34
36,34 Web Application Security Scanner Nikto - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=4pIcFMVj5aI&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=36,4pIcFMVj5aI,2025-08-20T09:59:19Z,35
37,35 Burp Suite - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=NGk8fRj9bR4&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=37,NGk8fRj9bR4,2025-08-20T09:59:23Z,36
38,36 Cross Site Scripting XSS - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=iROtl6ZiCTw&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=38,iROtl6ZiCTw,2025-08-20T09:59:27Z,37
39,37 Local and Remote File Inclusion - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=fzuwTLSKEX0&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=39,fzuwTLSKEX0,2025-08-20T09:59:34Z,38
40,38 Introduction to SQL injection - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=ikh2xPLienA&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=40,ikh2xPLienA,2025-08-20T09:59:30Z,39
41,39 Exploit SQL injection - OSCP 2025｜ Offensive Security Certified Professional,https://www.youtube.com/watch?v=7ySuq1u18cM&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=41,7ySuq1u18cM,2025-08-20T09:59:38Z,40
42,40 SQL injection Dumping all database - OSCP 2025 | Offensive Security Certified Professional,https://www.youtube.com/watch?v=BT56Tc5vSmY&list=PL5dZpxpUkHPM0HMefFCFjGeLAwyty4LYm&index=42,BT56Tc5vSmY,2025-08-20T09:59:40Z,41
