#,title,videoUrl,videoId,publishedAt,position
1,احترف حمايه المواقع درس 1# مقدمه الي الكورس,https://www.youtube.com/watch?v=RbuLNDobNv8&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=1,RbuLNDobNv8,2017-05-01T02:19:23Z,0
2,احترف حمايه المواقع درس 2# بعض المفاهيم  الامنيه التي يجب معرفتها,https://www.youtube.com/watch?v=lgZDTqSRjxs&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=2,lgZDTqSRjxs,2017-06-11T07:45:05Z,1
3,احترف حمايه المواقع درس #3 بعض المفاهيم الامنيه التي يجب معرفتها الجزء الثاني,https://www.youtube.com/watch?v=ig04Q5nIdxM&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=3,ig04Q5nIdxM,2017-06-27T16:08:20Z,2
4,احترف حمايه المواقع درس #4 Laravel Security,https://www.youtube.com/watch?v=DT8wUzqAJJs&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=4,DT8wUzqAJJs,2017-06-27T16:04:18Z,3
5,احترف حمايه المواقع درس #5 :  ما هو ال SQL injection,https://www.youtube.com/watch?v=8H8VS54I-tk&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=5,8H8VS54I-tk,2017-06-11T05:52:53Z,4
6,SQL Injection part 2,https://www.youtube.com/watch?v=HwOmTPrQfDg&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=6,HwOmTPrQfDg,2016-09-20T19:47:36Z,5
7,SQL injection part 3,https://www.youtube.com/watch?v=jtL3O88JfvU&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=7,jtL3O88JfvU,2016-09-20T19:51:49Z,6
8,XSS Part 1,https://www.youtube.com/watch?v=7ZYctg_qk70&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=8,7ZYctg_qk70,2016-09-20T19:50:50Z,7
9,XSS part 2,https://www.youtube.com/watch?v=jEjwyTgGMS8&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=9,jEjwyTgGMS8,2016-09-20T19:47:47Z,8
10,XSS part 3,https://www.youtube.com/watch?v=OF-nFJDKRAY&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=10,OF-nFJDKRAY,2016-09-20T19:50:46Z,9
11,XSS  part 4,https://www.youtube.com/watch?v=dTFjVXskQqU&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=11,dTFjVXskQqU,2016-09-20T19:50:41Z,10
12,XSS  part 5,https://www.youtube.com/watch?v=LiQyNv3wmmc&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=12,LiQyNv3wmmc,2016-09-20T19:50:36Z,11
13,XSS part 6,https://www.youtube.com/watch?v=GIZgMsAetgQ&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=13,GIZgMsAetgQ,2016-09-20T19:50:33Z,12
14,Cookies theft,https://www.youtube.com/watch?v=LkCFkNbKyxY&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=14,LkCFkNbKyxY,2016-09-20T19:52:35Z,13
15,Weak Hashing,https://www.youtube.com/watch?v=s3dXPzqaKXM&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=15,s3dXPzqaKXM,2016-09-20T22:28:01Z,14
16,File Inclusion Part 1,https://www.youtube.com/watch?v=yWeAkC0MjFE&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=16,yWeAkC0MjFE,2016-09-20T19:52:30Z,15
17,File Inclusion Part 2,https://www.youtube.com/watch?v=hjgpqisPe2c&list=PL7mt2FDjAkPfuS1Vt4AAqGAjHEuKEFAPB&index=17,hjgpqisPe2c,2016-09-20T19:52:27Z,16
