#,title,videoUrl,videoId,publishedAt,position
1,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #0 Intro,https://www.youtube.com/watch?v=2EAV2cB3FWY&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=1,2EAV2cB3FWY,2023-03-11T18:43:51Z,0
2,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #1 Variables,https://www.youtube.com/watch?v=ClkIRKlmplY&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=2,ClkIRKlmplY,2023-03-14T19:41:21Z,1
3,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #2 Arithmetic Operators,https://www.youtube.com/watch?v=XUreKLul1og&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=3,XUreKLul1og,2023-03-18T18:47:07Z,2
4,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #3 Strings,https://www.youtube.com/watch?v=Sr04cTu5abY&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=4,Sr04cTu5abY,2023-03-21T13:00:30Z,3
5,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #4 Arrays,https://www.youtube.com/watch?v=R16IMAWDGyg&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=5,R16IMAWDGyg,2023-03-24T23:40:55Z,4
6,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #5 Functions,https://www.youtube.com/watch?v=XhM9px0OFkc&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=6,XhM9px0OFkc,2023-03-28T22:59:55Z,5
7,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #6 Conditions,https://www.youtube.com/watch?v=GgqCm46vAL8&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=7,GgqCm46vAL8,2023-04-07T20:13:49Z,6
8,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #7 Switch Case,https://www.youtube.com/watch?v=B-X4hrHtJ58&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=8,B-X4hrHtJ58,2023-04-14T19:28:22Z,7
9,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #8 Objects,https://www.youtube.com/watch?v=ZzEg_BSVN0A&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=9,ZzEg_BSVN0A,2023-05-05T17:24:56Z,8
10,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #9 Loops,https://www.youtube.com/watch?v=lRsvuBB8n80&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=10,lRsvuBB8n80,2023-05-06T18:09:16Z,9
11,كورس جافاسكريبت JavaScript/Node.js (Arabic) - #10 Outro النهاية,https://www.youtube.com/watch?v=SS-HnTEHkss&list=PL8q8h6vqfkSXcfaCL_nqsbLkDnodHpBG8&index=11,SS-HnTEHkss,2023-05-20T13:32:25Z,10
