#,title,videoUrl,videoId,publishedAt,position
1,EPT Crash Course | Intro (Arabic),https://www.youtube.com/watch?v=bDJNMZuz2sE&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=1,bDJNMZuz2sE,2021-01-18T00:34:45Z,0
2,EPT Crash Course | What Is A Vulnerability (Arabic),https://www.youtube.com/watch?v=akPSCPQiHeM&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=2,akPSCPQiHeM,2021-01-19T20:34:02Z,1
3,EPT Crash Course | How Vulnerability Occurs (Arabic),https://www.youtube.com/watch?v=AnnVGMznusE&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=3,AnnVGMznusE,2021-01-20T00:26:51Z,2
4,EPT Crash Course | Types Of Vulnerabilities (Arabic),https://www.youtube.com/watch?v=b3imOFI5wWs&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=4,b3imOFI5wWs,2021-01-23T23:39:15Z,3
5,EPT Crash Course | History of Vulnerabilities (Arabic),https://www.youtube.com/watch?v=99rkzdA0p4Y&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=5,99rkzdA0p4Y,2021-01-24T21:49:27Z,4
6,EPT Crash Course | Exploitation of Vulnerabilities (Arabic),https://www.youtube.com/watch?v=zQe7n1lqsd8&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=6,zQe7n1lqsd8,2021-01-28T20:45:22Z,5
7,EPT Crash Course | Web Protocols Part 1 (Arabic),https://www.youtube.com/watch?v=GApz2P9GDDA&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=7,GApz2P9GDDA,2021-03-18T22:29:55Z,6
8,EPT Crash Course | Web Protocols Part 2 (Arabic),https://www.youtube.com/watch?v=wTNxzlE3np0&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=8,wTNxzlE3np0,2021-03-18T22:58:36Z,7
9,EPT Crash Course | Web Protocols Part 3 (Arabic),https://www.youtube.com/watch?v=YQWpxbGo3BA&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=9,YQWpxbGo3BA,2021-03-23T01:14:28Z,8
10,EPT Crash Course | Web Protocols Part 4 (Arabic),https://www.youtube.com/watch?v=1zhdH7sCyr0&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=10,1zhdH7sCyr0,2021-04-28T00:05:35Z,9
11,EPT Crash Course | How HTTPS Works (Arabic),https://www.youtube.com/watch?v=3wUHZXBhU7U&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=11,3wUHZXBhU7U,2021-07-07T23:45:54Z,10
12,EPT Crash Course | HTML Intro (Arabic),https://www.youtube.com/watch?v=vR9QN4pyQVw&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=12,vR9QN4pyQVw,2021-07-09T18:27:15Z,11
13,EPT Crash Course | HTML Part 2 (Arabic),https://www.youtube.com/watch?v=iReULnFeZ9E&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=13,iReULnFeZ9E,2021-07-27T11:04:40Z,12
14,EPT Crash Course | HTML Part 3 & Intro to JS (Arabic),https://www.youtube.com/watch?v=ovy-DKi_06Q&list=PLDRMxi70CdSCIsZPz_DzTT07e14Ke-xR4&index=14,ovy-DKi_06Q,2021-12-13T22:43:21Z,13
