#,title,videoUrl,videoId,publishedAt,position
1,مقدمة وتعريف بشهادات CompTIA,https://www.youtube.com/watch?v=zIpF33NCgrA&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=2,zIpF33NCgrA,2024-12-19T08:00:50Z,1
2,CompTIA A+ كل ماتريد أن تعرفه عن شهادة,https://www.youtube.com/watch?v=3ewpchhw3nA&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=3,3ewpchhw3nA,2025-05-08T11:42:50Z,2
3,Private video,https://www.youtube.com/watch?v=nKLFvLqqgZE&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=4,nKLFvLqqgZE,,3
4,CompTIA A+ Course | 01-Introduction to Hardware مقدمة فى الهاردوير,https://www.youtube.com/watch?v=HCdzduik1ZE&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=5,HCdzduik1ZE,2020-06-20T19:39:59Z,4
5,02- CompTIA A+ | Form Factor شرح ال,https://www.youtube.com/watch?v=GQFeSgssCAo&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=6,GQFeSgssCAo,2020-06-29T09:18:51Z,5
6,03- CompTIA A+ | Power Supply شرح مزود الطاقة,https://www.youtube.com/watch?v=A9rExIbfyzs&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=7,A9rExIbfyzs,2020-07-07T09:44:17Z,6
7,04- CompTIA A+ | Safety and Protection كيف تحمى نفسك واجهزتك من الكهرباء اثناء الصيانة,https://www.youtube.com/watch?v=3ff7XXnZET0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=8,3ff7XXnZET0,2020-07-16T19:56:20Z,7
8,05- CompTIA A+ | Motherboard Part1 شرح تفصيلى للوحة الأم-الجزء الأول,https://www.youtube.com/watch?v=5I2HMPNanTo&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=9,5I2HMPNanTo,2020-07-27T21:15:22Z,8
9,06- CompTIA A+| Motherboard Part2 شرح تفصيلى للوحة الأم - الجزء الثانى,https://www.youtube.com/watch?v=7psnHQXElyk&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=10,7psnHQXElyk,2020-07-30T20:06:32Z,9
10,07- CompTIA A+ | Motherboard Part 3 | BIOS and UEFI شرح تفصيلى للوحة الأم - شرح البيوس,https://www.youtube.com/watch?v=uUmFTIJ4sBk&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=11,uUmFTIJ4sBk,2020-08-06T23:10:33Z,10
11,08- CompTIA A+ | CPU كل ماتريد ان تعرفه عن المعالج,https://www.youtube.com/watch?v=HiMjKMOjAzA&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=12,HiMjKMOjAzA,2020-08-11T09:45:09Z,11
12,09- CompTIA A+ | RAM كل ماتريد ان تعرفه عن الذاكرة,https://www.youtube.com/watch?v=hKDtYu-FUbY&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=13,hKDtYu-FUbY,2020-08-20T17:09:57Z,12
13,10- CompTIA A+ | Storage Devices شرح وسائط التخزين,https://www.youtube.com/watch?v=z4yqa1vBRAc&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=14,z4yqa1vBRAc,2020-09-20T05:32:31Z,13
14,11- CompTIA A Plus | Disks & Partitions شرح أقسام الهارد ديسك,https://www.youtube.com/watch?v=zkMLzPCXLRo&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=15,zkMLzPCXLRo,2020-10-01T16:42:45Z,14
15,12- CompTIA A+ | Dynamic Disks & RAID,https://www.youtube.com/watch?v=WYKNyiqGLlc&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=16,WYKNyiqGLlc,2020-10-11T16:34:02Z,15
16,13- CompTIA A+ | File System شرح نظام الملفات,https://www.youtube.com/watch?v=2gUwqcZk3JE&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=17,2gUwqcZk3JE,2020-11-12T08:31:40Z,16
17,14- CompTIA A+ | Disk Optimization تحسين اداء الديسك,https://www.youtube.com/watch?v=QKHaVQNrJqA&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=18,QKHaVQNrJqA,2020-11-17T04:16:39Z,17
18,15- CompTIA A+ | Installing Windows Part1 شرح كيفية تثبيت الويندوز ج1,https://www.youtube.com/watch?v=U_PSPVcCYi0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=19,U_PSPVcCYi0,2021-01-14T12:32:03Z,18
19,16- CompTIA A+ | Install Windows Part2 شرح تثبيت الويندوز ج2,https://www.youtube.com/watch?v=dfZNx5xD644&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=20,dfZNx5xD644,2021-02-08T09:42:36Z,19
20,17- CompTIA A+ | Windows features جولة سريعة داخل ويندوز 10,https://www.youtube.com/watch?v=-hzDwesStq0&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=21,-hzDwesStq0,2021-03-29T05:22:35Z,20
21,18- CompTIA A+ | Managing Files and Folders using Command Line ادارة الملفات باستخدام سطر الاوامر,https://www.youtube.com/watch?v=hcGn3zKwm98&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=22,hcGn3zKwm98,2021-04-06T05:25:27Z,21
22,19- CompTIA A+ | System Management& Optimization Part1 ادارة وتحسين اداء الويندوز,https://www.youtube.com/watch?v=PFLg12OBlwc&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=23,PFLg12OBlwc,2021-06-14T11:50:59Z,22
23,20- ComTIA A+ | System Management And Optimization Part2 أدارة وتحسين اداء الويندوز,https://www.youtube.com/watch?v=m_JIvFFghJg&list=PLH-n8YK76vIiDdOMRB-ylvns-_8Zl1euV&index=24,m_JIvFFghJg,2021-06-28T08:33:47Z,23
