#,title,videoUrl,videoId,publishedAt,position
1,CompTIA Network+ كل ماتريد أن تعرفه عن شهادة,https://www.youtube.com/watch?v=RFK4Kc_aJYg&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=1,RFK4Kc_aJYg,2025-05-22T06:00:18Z,0
2,Private video,https://www.youtube.com/watch?v=IA_qrcEwDCI&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=2,IA_qrcEwDCI,,1
3,01- CompTIA Network+ | Intro to Networks مقدمة فى الشبكات,https://www.youtube.com/watch?v=8cAmDg65qyk&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=3,8cAmDg65qyk,2021-07-01T04:31:38Z,2
4,02- CompTIA Network+ | Networks Terms مصطلحات هامة فى الشبكات,https://www.youtube.com/watch?v=02Jo7gR9GnA&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=4,02Jo7gR9GnA,2021-07-08T18:50:24Z,3
5,02-1- CompTIA Network+ Lab 1 تطبيق عملى شبكات رقم 1,https://www.youtube.com/watch?v=U5ETRBzGzQk&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=5,U5ETRBzGzQk,2021-07-11T17:10:07Z,4
6,03- CompTIA Network+ | OSI Model Part 1 شرح,https://www.youtube.com/watch?v=UV_T_744vRo&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=6,UV_T_744vRo,2021-07-16T20:09:58Z,5
7,04- CompTIA Network+ | OSI Model Part2 شرح,https://www.youtube.com/watch?v=jhpN6Uh7uEQ&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=7,jhpN6Uh7uEQ,2021-07-29T11:24:28Z,6
8,04-1-  OSI Model تطبيق عملى على ال,https://www.youtube.com/watch?v=ziHWjVhb-6A&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=8,ziHWjVhb-6A,2021-07-29T21:02:24Z,7
9,05- CompTIA Network+ | TCP_IP Model Part 1 شرح,https://www.youtube.com/watch?v=pb2hhd1fhAs&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=9,pb2hhd1fhAs,2021-09-09T15:34:37Z,8
10,06- CompTIA Network+ | TCP IP Model Part2 شرح,https://www.youtube.com/watch?v=IbqAVzYWKes&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=10,IbqAVzYWKes,2021-11-22T22:04:17Z,9
11,07- CompTIA Network+ | TCP|IP Exercises,https://www.youtube.com/watch?v=GxtyySPBeaY&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=11,GxtyySPBeaY,2021-11-30T00:44:49Z,10
12,08- CompTIA Network+ | Network Cables part 1 كابلات الشبكة,https://www.youtube.com/watch?v=ju58R4f4JBY&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=12,ju58R4f4JBY,2022-02-06T06:28:34Z,11
13,09- CompTIA Network+ | Network Cables part 2 كابلات الشبكة,https://www.youtube.com/watch?v=lBn-9D_MqJU&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=13,lBn-9D_MqJU,2022-03-22T05:00:23Z,12
14,10- CompTIA Network+ | Network Devices Part1 معدات الشبكات,https://www.youtube.com/watch?v=WeXFpleuRlc&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=14,WeXFpleuRlc,2022-03-28T21:29:17Z,13
15,11- CompTIA Network+ | Network Devices Part2 معدات الشبكات,https://www.youtube.com/watch?v=E3IbLs9hxiw&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=15,E3IbLs9hxiw,2022-04-05T21:34:35Z,14
16,12- CompTIA Network+ | Ethernetشرح,https://www.youtube.com/watch?v=qKS4ZfKENew&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=16,qKS4ZfKENew,2022-04-20T05:35:36Z,15
17,13- CompTIA Network+ |IPv4 Addressing Part 1 شرح,https://www.youtube.com/watch?v=Ah64EqEIZ9Y&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=17,Ah64EqEIZ9Y,2022-06-27T06:00:52Z,16
18,14- CompTIA Network+ |IPv4 Addressing Part 2 شرح,https://www.youtube.com/watch?v=3w-mKSm3XbE&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=18,3w-mKSm3XbE,2022-07-16T18:51:38Z,17
19,15- CompTIA Network+ |IPv4 Addressing Part 3,https://www.youtube.com/watch?v=ZayMyB_iJT8&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=19,ZayMyB_iJT8,2022-07-21T08:05:51Z,18
20,16- CompTIA Network+ | IP Addressing Part 4 - Subnetting شرح ال,https://www.youtube.com/watch?v=O2-HFicmk54&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=20,O2-HFicmk54,2022-08-03T16:08:51Z,19
21,17- CompTIA Network+ | IP Address Assignment & DHCP شرح,https://www.youtube.com/watch?v=K7qMOYFSzsY&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=21,K7qMOYFSzsY,2022-08-09T06:00:05Z,20
22,18- CompTIA Network+ | DNS شرح ال,https://www.youtube.com/watch?v=aWfWS_WZvzQ&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=22,aWfWS_WZvzQ,2022-08-22T18:44:30Z,21
23,19- CompTIA Network+ | Routing Part 1 شرح الراوتينج فى الشبكات,https://www.youtube.com/watch?v=8UIGUjvg6nQ&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=23,8UIGUjvg6nQ,2022-09-06T11:28:28Z,22
24,20- CompTIA Network+ | Routing Part 2 شرح بروتوكولات الشبكات,https://www.youtube.com/watch?v=8-mpgi203V0&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=24,8-mpgi203V0,2022-10-07T06:00:02Z,23
25,20_2 Routing Part 2 Lab تطبيق عملى على الراوتينج,https://www.youtube.com/watch?v=D_PoyqT9DAc&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=25,D_PoyqT9DAc,2022-10-07T06:15:00Z,24
26,21- CompTIA Network+ | NAT شرح ال,https://www.youtube.com/watch?v=bR8OlNmnn54&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=26,bR8OlNmnn54,2022-10-23T21:52:40Z,25
27,22- CompTIA Network+ | IPv6 شرح بروتوكول,https://www.youtube.com/watch?v=mdEM1FFRPng&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=27,mdEM1FFRPng,2022-12-28T19:33:48Z,26
28,23-ComTIA network+ | Wireless Networking Part1 مقدمة فى شبكات الوايرلس,https://www.youtube.com/watch?v=4dHtrA5rluU&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=28,4dHtrA5rluU,2023-11-26T06:00:01Z,27
29,24-CompTIA Network+ | Wireless Networking Part2 _Wireless Architecture مكونات شبكات الوايرلس,https://www.youtube.com/watch?v=jPxCHWFbDy8&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=29,jPxCHWFbDy8,2024-02-01T11:56:28Z,28
30,25-CompTIA Network+ | Wireless Networking Part3_Wireless Standards معايير شبكات الوايرلس,https://www.youtube.com/watch?v=Za4wGdwWHOA&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=30,Za4wGdwWHOA,2024-02-29T11:13:52Z,29
31,26-CompTIA Network+ Wireless Networking Part4 Wireless Security شبكات الوايرلس ج4,https://www.youtube.com/watch?v=cdsHAUW6TZ8&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=31,cdsHAUW6TZ8,2024-06-03T17:54:26Z,30
32,27-CompTIA Network+ | Wireless Network Part 5 | Wi-Fi Implementation Part 1 تنفيذ شبكات الوايرلس ج1,https://www.youtube.com/watch?v=dUh9gHyiIJ0&list=PLH-n8YK76vIiuIZoWvHL7AvtrDV7hR3He&index=32,dUh9gHyiIJ0,2024-09-24T12:20:13Z,31
