#,title,videoUrl,videoId,publishedAt,position
1,01-PowerShell for Penetration Testers (Introduction) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=E8dp8IMKNWI&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=1,E8dp8IMKNWI,2023-11-22T09:32:57Z,0
2,02-PowerShell for Penetration Testers (Intro to PowerShell Cmdlet) Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=WLvFCgTsNx0&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=2,WLvFCgTsNx0,2023-11-24T12:08:36Z,1
3,03-PowerShell for Penetration Testers (PowerShell Cmdlets 1) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=ah3E1zDzEbo&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=3,ah3E1zDzEbo,2023-11-27T18:26:17Z,2
4,04-PowerShell for Penetration Testers (PowerShell Cmdlets 2) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=3BdojfWG9_U&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=4,3BdojfWG9_U,2023-11-28T19:44:15Z,3
5,05-PowerShell for Penetration Testers (Lecture 5) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=8fmXwVG13vw&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=5,8fmXwVG13vw,2023-12-03T18:26:53Z,4
6,06-PowerShell for Penetration Testers (Variables and Data Types) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=WekItymobPI&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=6,WekItymobPI,2023-12-13T20:35:21Z,5
7,07-PowerShell for Penetration Testers (Lecture 7) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=q0hOALU_Exc&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=7,q0hOALU_Exc,2024-04-30T15:50:19Z,6
8,08-PowerShell for Penetration Testers (Operators in PowerShell) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=oMIyF9-4iVU&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=8,oMIyF9-4iVU,2024-07-16T18:55:45Z,7
9,09-PowerShell for Penetration Testers (Logical Operators) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=GUBRgR-l9Yg&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=9,GUBRgR-l9Yg,2024-07-23T17:54:47Z,8
10,10-PowerShell for Penetration Testers (Redirection - Split) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=HKW84zkiOyc&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=10,HKW84zkiOyc,2024-10-30T17:50:18Z,9
11,11-PowerShell for Penetration Testers (Conditional Statements) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=Br6r3GzJJG4&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=11,Br6r3GzJJG4,2024-11-27T20:24:27Z,10
12,12-PowerShell for Penetration Testers (Switch Statement) By Eng-Mostafa Abd ElSalam | Arabic,https://www.youtube.com/watch?v=G4qHxuFEAe0&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=12,G4qHxuFEAe0,2025-12-06T17:27:41Z,11
13,Private video,https://www.youtube.com/watch?v=Q-Y81jrEqFo&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=13,Q-Y81jrEqFo,,12
14,Private video,https://www.youtube.com/watch?v=GaPg2dyo6lc&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=14,GaPg2dyo6lc,,13
15,Private video,https://www.youtube.com/watch?v=kqr5E58a8WA&list=PLLlr6jKKdyK12Gna1Q5SylK7YZjO7HG7s&index=15,kqr5E58a8WA,,14
