#,title,videoUrl,videoId,publishedAt,position
1,#01- دورة القرصنة الاخلاقية  - Install kali linux And  important Tools (Ethical Hacking Course),https://www.youtube.com/watch?v=IyxgtWKtzQw&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=1,IyxgtWKtzQw,2024-06-09T14:00:11Z,0
2,Downloading VMware 2025 | VMware 2025 تنزيل,https://www.youtube.com/watch?v=bcL6apHMxOM&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=2,bcL6apHMxOM,2025-05-20T03:53:31Z,1
3,#02 - دورة القرصنة الاخلاقية  -  Kali Overview | (Ethical Hacking Course),https://www.youtube.com/watch?v=d_zfVMM-tQQ&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=3,d_zfVMM-tQQ,2024-06-28T14:00:36Z,2
4,#03 - دورة القرصنه الاخلاقيه - Sudo Overview | (Ethical Hacking Course),https://www.youtube.com/watch?v=wrh-7AtXy60&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=4,wrh-7AtXy60,2024-06-28T17:01:57Z,3
5,#04 - دورة القرصنه الاخلاقيه - Navigating the File system (Ethical Hacking Course),https://www.youtube.com/watch?v=jwVyzE7S9iY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=5,jwVyzE7S9iY,2024-06-30T22:37:11Z,4
6,#05 - دورة القرصنه الاخلاقيه | Users & Privileges (Ethical Hacking Course),https://www.youtube.com/watch?v=hROttpGKuwM&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=6,hROttpGKuwM,2024-07-06T14:00:36Z,5
7,# - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Networking 3 hours,https://www.youtube.com/watch?v=GVJshZrKV5k&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=7,GVJshZrKV5k,2024-12-28T15:00:18Z,6
8,#06 - دورة القرصنه الاخلاقيه | Common Network Commands (Ethical Hacking Course),https://www.youtube.com/watch?v=Fi_Yu8Faf2U&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=8,Fi_Yu8Faf2U,2024-07-11T14:00:08Z,7
9,"#07 - دورة القرصنه الاخلاقيه | Viewing, Creating, & Editing Files (Ethical Hacking Course)",https://www.youtube.com/watch?v=r0F-c_-q9fo&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=9,r0F-c_-q9fo,2024-07-14T16:33:45Z,8
10,#08 - دورة القرصنه الاخلاقيه  | Starting And Stopping Services (Ethical Hacking Course),https://www.youtube.com/watch?v=kc4wQ88ULOU&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=10,kc4wQ88ULOU,2024-08-14T22:27:42Z,9
11,#09 - دورة القرصنه الاخلاقيه | Installing and Updating Tools (Ethical Hacking Course),https://www.youtube.com/watch?v=SAI-K8gFpvk&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=11,SAI-K8gFpvk,2024-08-16T17:46:00Z,10
12,#10 - دورة القرصنه الاخلاقيه | Bash Scripting (Ethical Hacking Course),https://www.youtube.com/watch?v=Uht505yY9Mg&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=12,Uht505yY9Mg,2024-08-26T14:00:33Z,11
13,#11 تعلم بايثون | Introduction | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=c-nar4iyTaw&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=13,c-nar4iyTaw,2024-08-28T14:00:40Z,12
14,#12  تعلم بايثون | Strings | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=8JUyMh8FsG8&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=14,8JUyMh8FsG8,2024-08-31T14:00:07Z,13
15,#13 تعلم البايثون | Math | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=UoXCn-MvMHw&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=15,UoXCn-MvMHw,2024-09-02T14:00:33Z,14
16,#14 تعلم بايثون | Variables And Methods | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=nU2dH33Mxqs&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=16,nU2dH33Mxqs,2024-09-03T14:48:42Z,15
17,#15 تعلم بايثون | Functions | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=i-E7Esu0WgE&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=17,i-E7Esu0WgE,2024-09-06T14:00:43Z,16
18,#16 تعلم بايثون | Boolean Expressions | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=3iZ8USG9gJI&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=18,3iZ8USG9gJI,2024-09-07T16:39:01Z,17
19,#17 تعلم بايثون | Conditional Statements | كورس الاختراق الاخلاقي (Ethical Hacking Course),https://www.youtube.com/watch?v=soyY0PXhemg&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=19,soyY0PXhemg,2024-09-08T18:00:22Z,18
20,#18 تعلم بايثون | Lists | كورس الاختراق الاخلاقي (Ethical Hacking course),https://www.youtube.com/watch?v=8bmT2MBHRqU&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=20,8bmT2MBHRqU,2024-09-09T14:00:06Z,19
21,#19 تعلم بايثون | Tuples | كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=VLUQMZBLreY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=21,VLUQMZBLreY,2024-09-10T14:00:25Z,20
22,#20 تعلم بايثون | Looping | كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=pJcQWHMZ8po&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=22,pJcQWHMZ8po,2024-09-13T14:00:51Z,21
23,#21 تعلم بايثون | Advanced Strings | كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=DTRJvKQojFY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=23,DTRJvKQojFY,2024-09-18T14:00:17Z,22
24,#22 تعلم بايثون | Dictionaries | كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=8dFcHEbc0VE&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=24,8dFcHEbc0VE,2024-09-19T14:00:10Z,23
25,#23 تعلم بايثون | Importing Modules |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=5sS3RD3Fxa4&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=25,5sS3RD3Fxa4,2024-09-21T14:00:06Z,24
26,#24 تعلم بايثون | SOCKETS |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=YvSuFqT6UX8&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=26,YvSuFqT6UX8,2024-09-29T18:40:18Z,25
27,#25 تعلم بايثون | Building A Port Scanner |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=gdm_xr4WiJw&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=27,gdm_xr4WiJw,2024-10-04T20:09:39Z,26
28,#26 تعلم بايثون | User Input - Building Calculator |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=QWtyopBPcYw&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=28,QWtyopBPcYw,2024-10-09T19:28:00Z,27
29,#27 تعلم بايثون |  Reading and Writing Files |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=JWNvpRDOtVg&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=29,JWNvpRDOtVg,2024-10-11T23:00:20Z,28
30,#28 تعلم بايثون | Classes And Objects |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=zhJfVl1QLF4&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=30,zhJfVl1QLF4,2024-10-15T21:00:56Z,29
31,#29 تعلم بايثون | Building Product Budget Tool |  كورس الاختراق الاخلاقي,https://www.youtube.com/watch?v=8TKa_xkYPdI&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=31,8TKa_xkYPdI,2024-10-22T14:00:12Z,30
32,#30 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Five Stages of Ethical Hacking,https://www.youtube.com/watch?v=gnvpkoTQwnE&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=32,gnvpkoTQwnE,2024-10-23T18:09:17Z,31
33,#31 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Passive Recon Overview,https://www.youtube.com/watch?v=YnRmH2_CKqg&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=33,YnRmH2_CKqg,2024-11-04T19:00:28Z,32
34,#32 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Identifying Our Target,https://www.youtube.com/watch?v=0NlU0m12ysI&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=34,0NlU0m12ysI,2024-11-05T19:00:00Z,33
35,#33 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Discovering Email Addresses,https://www.youtube.com/watch?v=E1RG1CjGW4M&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=35,E1RG1CjGW4M,2024-11-16T15:14:57Z,34
36,#35 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | SubDomains,https://www.youtube.com/watch?v=9B8wuX_g07M&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=36,9B8wuX_g07M,2025-01-03T15:00:15Z,35
37,#36 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Identifying Website Technologies,https://www.youtube.com/watch?v=vg1qoiq58X8&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=37,vg1qoiq58X8,2025-01-17T19:55:40Z,36
38,#37 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Burp Suite,https://www.youtube.com/watch?v=QowK4vajS2c&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=38,QowK4vajS2c,2025-01-18T15:00:40Z,37
39,#38 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Google Fu & Utilizing Social Media,https://www.youtube.com/watch?v=uPHwxq4PCnk&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=39,uPHwxq4PCnk,2025-02-11T15:01:17Z,38
40,#39 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Install Kioptrix Machine & Scan With Nmap,https://www.youtube.com/watch?v=XVb3J-SleJI&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=40,XVb3J-SleJI,2025-02-12T15:00:52Z,39
41,#40 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Enumerating HTTP/HTTPS (Part 1),https://www.youtube.com/watch?v=Gkcq5G0gYYY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=41,Gkcq5G0gYYY,2025-02-14T22:13:34Z,40
42,#41 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Enumerating HTTP/HTTPS (Part 2),https://www.youtube.com/watch?v=lT9GK1xRquU&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=42,lT9GK1xRquU,2025-02-19T16:51:38Z,41
43,#42 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Enumerating SMB,https://www.youtube.com/watch?v=RfcJMhVH6rQ&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=43,RfcJMhVH6rQ,2025-02-20T19:40:41Z,42
44,#43 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Enumerating SSH,https://www.youtube.com/watch?v=4zfj9OsG8vE&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=44,4zfj9OsG8vE,2025-02-26T15:00:11Z,43
45,#44 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Researching Potential Vulnerabilities,https://www.youtube.com/watch?v=nPhiJXJDYeI&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=45,nPhiJXJDYeI,2025-03-06T19:11:51Z,44
46,#45 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Organize Notes,https://www.youtube.com/watch?v=PJDTFz21J20&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=46,PJDTFz21J20,2025-03-09T23:43:41Z,45
47,#46 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Scanning With Nessus (part 1),https://www.youtube.com/watch?v=p9YVgYEGVto&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=47,p9YVgYEGVto,2025-03-26T17:30:16Z,46
48,#47 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Scanning With Nessus (part 2),https://www.youtube.com/watch?v=Rowzzjka7a0&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=48,Rowzzjka7a0,2025-03-27T02:20:50Z,47
49,#48 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Reverse Shells Vs Bind Shells,https://www.youtube.com/watch?v=RSsp02cYHqY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=49,RSsp02cYHqY,2025-03-28T17:00:36Z,48
50,#49 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Staged Vs Non-Staged Payloads,https://www.youtube.com/watch?v=fAYywKItlRY&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=50,fAYywKItlRY,2025-03-29T19:58:12Z,49
51,#50 - دورة الاختراق الاخلاقي  (Ethical Hacking Course)  | Gaining Root With Metasploit,https://www.youtube.com/watch?v=hg-vX5grNow&list=PLMuAdKgHarVrcZCqzJFdNlTiKz66U19Xk&index=51,hg-vX5grNow,2025-03-31T15:00:57Z,50
