#,title,videoUrl,videoId,publishedAt,position
1,معسكر الامن السيبراني محاضرة #1 مقدمة الى المعسكر,https://www.youtube.com/watch?v=HiDKyQYqd4w&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=1,HiDKyQYqd4w,2024-10-06T16:26:21Z,0
2,معسكر الامن السيبراني #2 هو ايه يعني network,https://www.youtube.com/watch?v=svN6ArkenA0&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=2,svN6ArkenA0,2024-10-07T09:12:49Z,1
3,معسكر الامن السيبراني #3 ما هو IP address,https://www.youtube.com/watch?v=eps03HT5vGY&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=3,eps03HT5vGY,2024-10-07T16:35:29Z,2
4,معسكر الامن السيبراني #4 public ip VS private ip,https://www.youtube.com/watch?v=r4lkUFBM1qA&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=4,r4lkUFBM1qA,2024-10-08T09:00:58Z,3
5,معسكر الامن السيبراني #5 Subnet Mask,https://www.youtube.com/watch?v=q-04bhNv5hQ&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=5,q-04bhNv5hQ,2024-10-08T17:38:48Z,4
6,معسكر الامن السيبراني #6 امثلة على Subnet Mask + كيفية حسابها بشكل سريع وتلقائي,https://www.youtube.com/watch?v=bzLYW29AumI&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=6,bzLYW29AumI,2024-10-09T09:00:40Z,5
7,معسكر الامن السيبراني #7 NAT وانواعها,https://www.youtube.com/watch?v=5NKVfZ2IKH0&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=7,5NKVfZ2IKH0,2024-10-09T17:00:04Z,6
8,معسكر الامن السيبراني #8 MAC Address,https://www.youtube.com/watch?v=aweK0ABc-dQ&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=8,aweK0ABc-dQ,2024-10-10T09:00:04Z,7
9,معسكر الامن السيبراني #9 Casting and Transmission mode,https://www.youtube.com/watch?v=bbZpAn3XczY&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=9,bbZpAn3XczY,2024-10-10T17:00:34Z,8
10,معسكر الامن السيبراني #10 OSI && tcp/ip model,https://www.youtube.com/watch?v=oClnAPsoiQs&list=PLPE_LivMIWm51WrKEc00auJnn0cxN-pWL&index=10,oClnAPsoiQs,2024-10-11T09:00:51Z,9
