#,title,videoUrl,videoId,publishedAt,position
1,#1  CTF course - Learn cyber security in Arabic -- Introduction,https://www.youtube.com/watch?v=eO6cLnOty10&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=1,eO6cLnOty10,2020-08-05T15:43:41Z,0
2,#2  CTF course - Learn cyber security in Arabic -- Forensics 101 CTFLearn,https://www.youtube.com/watch?v=tQ0CMTT3wa0&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=2,tQ0CMTT3wa0,2020-08-05T15:50:16Z,1
3,#3 CTF course - Learn cyber Security in Arabic  -- Taking ls challenge CTFlearn,https://www.youtube.com/watch?v=Gf83TRatH2Y&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=3,Gf83TRatH2Y,2020-08-05T15:52:52Z,2
4,#4 CTF course - Learn cyber Security in Arabic  --  07601 challenge CTFlearn,https://www.youtube.com/watch?v=9pDPZ2fDdFA&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=4,9pDPZ2fDdFA,2020-08-05T16:40:28Z,3
5,#5 CTF course - Learn cyber Security in Arabic  --  POST practice challenge CTFlearn,https://www.youtube.com/watch?v=muIEj7g5DXg&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=5,muIEj7g5DXg,2020-08-05T21:57:28Z,4
6,#6 CTF course - Learn cyber Security in Arabic  --  Android Reverse engineering challenge CTFlearn,https://www.youtube.com/watch?v=4fP6KMkpX0o&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=6,4fP6KMkpX0o,2020-08-08T11:06:59Z,5
7,#7 CTF course - Learn cyber Security in Arabic  -- TUX forensics challenge CTFlearn,https://www.youtube.com/watch?v=-b0n_jpbkks&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=7,-b0n_jpbkks,2020-08-08T11:30:03Z,6
8,#8 CTF course - Learn cyber Security in Arabic  -- Lazy Game Binary challenge CTFlearn,https://www.youtube.com/watch?v=qxUp49WefWo&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=8,qxUp49WefWo,2020-08-08T11:49:54Z,7
9,#9 CTF course - Learn cyber Security in Arabic  -- Where can My robot go challenge CTFlearn,https://www.youtube.com/watch?v=xyb6CqopHOE&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=9,xyb6CqopHOE,2020-08-08T15:48:11Z,8
10,#10 CTF course - Learn cyber Security in Arabic  -- WOW so META forensics challenge CTFlearn,https://www.youtube.com/watch?v=QUJLPrZhETg&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=10,QUJLPrZhETg,2020-08-08T15:50:57Z,9
11,#11 CTF course - Learn cyber Security in Arabic  -- binwalk forensics challenge CTFlearn,https://www.youtube.com/watch?v=PoHVOwIMK1s&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=11,PoHVOwIMK1s,2020-08-08T15:55:03Z,10
12,Learn reverse engineering and binary exploitation in Arabic (CTF بالعربي),https://www.youtube.com/watch?v=naqI6PqozyY&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=12,naqI6PqozyY,2020-08-12T17:24:27Z,11
13,CyberTalents challenges explained -- Learn CTF in Arabic (Easy access challenge),https://www.youtube.com/watch?v=SJCwqrPUuHE&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=13,SJCwqrPUuHE,2020-08-15T22:07:03Z,12
14,SQL injection Basics course in Arabic - CTF شرح بالعربي,https://www.youtube.com/watch?v=hMg20i4qE5c&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=14,hMg20i4qE5c,2020-08-15T22:14:34Z,13
15,CyberTalents challenges explained -- Learn CTF in Arabic (This is Sparta challenge),https://www.youtube.com/watch?v=vu8Q-N8R-go&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=15,vu8Q-N8R-go,2020-08-15T22:54:23Z,14
16,CyberTalents challenges explained -- Learn CTF in Arabic (hide data challenge),https://www.youtube.com/watch?v=4iX6YwyoUzQ&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=16,4iX6YwyoUzQ,2020-08-15T23:43:11Z,15
17,CyberTalents challenges explained -- Learn CTF in Arabic (crack the hash challenge),https://www.youtube.com/watch?v=S2ZfUtWJ4-w&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=17,S2ZfUtWJ4-w,2020-08-15T23:47:48Z,16
18,#1 Understand RSA encryption in Arabic for CTF players --  CTF بالعربي,https://www.youtube.com/watch?v=e7st-f611fI&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=18,e7st-f611fI,2020-08-17T22:57:45Z,17
19,#2 decrypting RSA using python in Arabic -- RACTF 2020 -- Really simple algorithm,https://www.youtube.com/watch?v=e8si14OoDAY&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=19,e8si14OoDAY,2020-08-17T22:58:54Z,18
20,#3 decrypting RSA without knowing the factors in Arabic -- CTF بالعربي,https://www.youtube.com/watch?v=wWM-GDCfAAA&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=20,wWM-GDCfAAA,2020-08-18T00:15:57Z,19
21,CyberTalents challenges explained -- Learn CTF in Arabic (Cheers web challenge) شرح بالعربي,https://www.youtube.com/watch?v=WJFcJorPyvM&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=21,WJFcJorPyvM,2020-08-19T08:30:01Z,20
22,CyberTalents challenges explained -- Learn CTF in Arabic (Dark project web challenge),https://www.youtube.com/watch?v=VDrIFgsW2s8&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=22,VDrIFgsW2s8,2020-08-19T08:30:01Z,21
23,CyberTalents challenges explained -- Learn CTF in Arabic (Postbase crypto challenge),https://www.youtube.com/watch?v=SeCCgwvZv68&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=23,SeCCgwvZv68,2020-08-23T22:19:26Z,22
24,CyberTalents challenges explained -- Learn CTF in Arabic (RSA101 crypto challenge),https://www.youtube.com/watch?v=sJbYjl9mRYs&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=24,sJbYjl9mRYs,2020-08-23T22:21:09Z,23
25,CyberTalents challenges explained -- Learn CTF in Arabic (cool name effect web challenge),https://www.youtube.com/watch?v=5yCnjuDPnng&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=25,5yCnjuDPnng,2020-08-25T09:00:01Z,24
26,CyberTalents challenges explained -- Learn CTF in Arabic (encrypted database web challenge) شرح,https://www.youtube.com/watch?v=R5e0wgI1epo&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=26,R5e0wgI1epo,2020-08-25T09:15:01Z,25
27,#0 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x00  CTF بالعربي,https://www.youtube.com/watch?v=GJwZp_ORFdE&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=27,GJwZp_ORFdE,2020-08-27T08:00:12Z,26
28,#1 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x01 CTF بالعربي,https://www.youtube.com/watch?v=BCQaiaro_og&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=28,BCQaiaro_og,2020-08-27T08:15:01Z,27
29,#2 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x02 CTF بالعربي,https://www.youtube.com/watch?v=uf3XOaK5uZE&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=29,uf3XOaK5uZE,2020-08-27T08:30:04Z,28
30,#3 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x03  CTF بالعربي,https://www.youtube.com/watch?v=S5SizZN2KQU&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=30,S5SizZN2KQU,2020-08-27T09:00:06Z,29
31,#4 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x04 CTF شرح بالعربي,https://www.youtube.com/watch?v=WKHJ30x5pPo&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=31,WKHJ30x5pPo,2020-08-27T09:00:13Z,30
32,#5 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x05  CTF شرح بالعربي,https://www.youtube.com/watch?v=DY0giEYcFcA&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=32,DY0giEYcFcA,2020-08-27T16:00:11Z,31
33,#1 exploiting basic cross-site scripting vulnerability in Arabic -- CTF شرح بالعربي,https://www.youtube.com/watch?v=Wm41qITeTCE&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=33,Wm41qITeTCE,2020-09-05T07:20:37Z,32
34,#2 using JavaScript attributes to exploit XSS vulnerability in Arabic -- CTF شرح بالعربي,https://www.youtube.com/watch?v=MjUKo2tLx_8&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=34,MjUKo2tLx_8,2020-09-05T07:21:04Z,33
35,#3 learn how source code flaws lead to XSS vulnerability in Arabic --CTF شرح بالعربي,https://www.youtube.com/watch?v=hCIz6XYGDYM&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=35,hCIz6XYGDYM,2020-09-05T07:21:23Z,34
36,#1 warm up -- cross-site scripting XSS exploitation (alf.nu alert 1 to win),https://www.youtube.com/watch?v=1evTnQGa44c&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=36,1evTnQGa44c,2020-09-09T09:16:15Z,35
37,#6 Learn Reverse engineering in Arabic By solving Crackmes -- Crackme 0x06  CTF بالعربي,https://www.youtube.com/watch?v=VniSd_dVwPA&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=37,VniSd_dVwPA,2020-09-13T20:55:32Z,36
38,#0 CTF Roadmap for beginners in Arabic - Watch till the end - CTF بالعربي للمبتدئين,https://www.youtube.com/watch?v=bDfZ-LA0ZkA&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=38,bDfZ-LA0ZkA,2020-09-28T11:54:24Z,37
39,practicing with base64 and morse code - PicoCTF 2019 - Cryptography,https://www.youtube.com/watch?v=y1hodnvObHo&list=PLdxfDCLPISTTSCRZyUXvW6shfNyt0wbKA&index=39,y1hodnvObHo,2020-12-25T18:47:20Z,38
