#,title,videoUrl,videoId,publishedAt,position
1,Source code disclosure via backup files - الكشف عن كود المصدر عبر ملفات النسخ الاحتياطي,https://www.youtube.com/watch?v=5CrrvCFwEJA&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=1,5CrrvCFwEJA,2024-04-21T16:57:25Z,0
2,Information disclosure on debug page - الكشف عن المعلومات على صفحة تصحيح الأخطاء,https://www.youtube.com/watch?v=1qHdIDzffc4&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=2,1qHdIDzffc4,2024-04-21T18:03:13Z,1
3,Information disclosure in version control history - الكشف عن المعلومات في سجل التحكم بالإصدارات,https://www.youtube.com/watch?v=VKFqqv0lM7s&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=3,VKFqqv0lM7s,2024-04-26T20:30:03Z,2
4,Information disclosure in error message -  الكشف عن المعلومات في طلبات ورسائل الخطأ,https://www.youtube.com/watch?v=Gc-nMTsseEY&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=4,Gc-nMTsseEY,2024-04-27T15:35:11Z,3
5,User role controlled by request parameter - التحكم بصلاحيات المستخدم من خلال السيطرة على الطلبات,https://www.youtube.com/watch?v=h2GAwqYGMM0&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=5,h2GAwqYGMM0,2024-05-07T16:45:01Z,4
6,Insecure Direct object reference - استرجاع معلومات مخزنة بشكل غير آمن,https://www.youtube.com/watch?v=ipazCaNNBns&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=6,ipazCaNNBns,2024-05-10T13:00:48Z,5
7,User role can modified in user profile - تعديل دور المستخدم في ملف تعريف المستخدم,https://www.youtube.com/watch?v=BFAOW5m9E0I&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=7,BFAOW5m9E0I,2024-05-14T18:43:24Z,6
8,File path traversal Bug - ثغرة إجتياز مسار الملف,https://www.youtube.com/watch?v=qkM_aRstVNM&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=8,qkM_aRstVNM,2024-05-17T16:38:01Z,7
9,File path traversal cases - أمثلة متعددة على إجتياز مسار الملف,https://www.youtube.com/watch?v=a9dSAxOiqB8&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=9,a9dSAxOiqB8,2024-06-02T19:00:00Z,8
10,File path traversal automation testing - الفحص الآلي,https://www.youtube.com/watch?v=flW3dbgSUE4&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=10,flW3dbgSUE4,2024-06-05T18:48:47Z,9
11,Cross Site Scripts XSS - حقن أكواد الجافا سكربت,https://www.youtube.com/watch?v=wKge8mi8bPk&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=11,wKge8mi8bPk,2024-06-07T17:14:17Z,10
12,Cross Site Scripts DOM XSS - حقن أكواد الجافا سكربت,https://www.youtube.com/watch?v=L0ehMNsidy4&list=PLiWBr7sjooxFZNxor5-4ooqRao-JP_ksP&index=12,L0ehMNsidy4,2024-06-14T07:28:58Z,11
