#,title,videoUrl,videoId,publishedAt,position
1,0- كورس قواعد البيانات بالبايثون | python sqlite3,https://www.youtube.com/watch?v=Gtl35O5qU9U&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=1,Gtl35O5qU9U,2023-10-02T14:02:13Z,0
2,1- كورس قواعد البيانات بالبايثون python sqlite3 | انشاء جداول في قاعدة البيانات,https://www.youtube.com/watch?v=x6bSaind4tw&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=2,x6bSaind4tw,2023-10-03T13:08:52Z,1
3,2- كورس قواعد البيانات بالبايثون python sqlite3 | ادخال صف واحد من البيانات في الجدول,https://www.youtube.com/watch?v=f38qQV5E8Cs&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=3,f38qQV5E8Cs,2023-10-03T17:34:55Z,2
4,3- كورس قواعد البيانات بالبايثون python sqlite3 | ادخال العديد من الصفوف في الجدول,https://www.youtube.com/watch?v=BZCzSZCDD8M&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=4,BZCzSZCDD8M,2023-10-04T12:51:15Z,3
5,4- كورس قواعد البيانات بالبايثون python sqlite3 | قراءة البيانات من قواعد البيانات,https://www.youtube.com/watch?v=Z4F0lx7lLiQ&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=5,Z4F0lx7lLiQ,2023-10-04T16:37:20Z,4
6,5- كورس قواعد البيانات بالبايثون python sqlite3 | fetchall - fetchmany - fetchone,https://www.youtube.com/watch?v=s3PF-pXY7Lc&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=6,s3PF-pXY7Lc,2023-10-05T10:07:00Z,5
7,6- كورس قواعد البيانات بالبايثون python sqlite3 | LIMIT - ORDER BY,https://www.youtube.com/watch?v=u_c1ghe4zjI&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=7,u_c1ghe4zjI,2023-10-05T15:57:45Z,6
8,7- كورس قواعد البيانات بالبايثون python sqlite3 | الشروط where,https://www.youtube.com/watch?v=wd6YMBTpJfw&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=8,wd6YMBTpJfw,2023-10-06T11:43:52Z,7
9,8- كورس قواعد البيانات بالبايثون python sqlite3 | تعديل البيانات update data,https://www.youtube.com/watch?v=eTJPnlRhr0A&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=9,eTJPnlRhr0A,2023-10-06T16:13:10Z,8
10,9- كورس قواعد البيانات بالبايثون python sqlite3 | حذف البيانات delete and drop,https://www.youtube.com/watch?v=a-uZrdW3s2k&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=10,a-uZrdW3s2k,2023-10-07T19:08:16Z,9
11,10- كورس قواعد البيانات بالبايثون | IF NOT EXISTS - PRIMARY KEY - AUTOINCREMENT - NOT NULL,https://www.youtube.com/watch?v=CAR_bTV3WG8&list=PLknwEmKsW8OveN7SrZN5QjwyXLBzUDkJB&index=11,CAR_bTV3WG8,2023-10-08T14:09:36Z,10
