#,title,videoUrl,videoId,publishedAt,position
1,ActiveDirectory-101 (بالعربي) |  مجانا 100% | مقدمة (00),https://www.youtube.com/watch?v=l5jryNnDhjk&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=1,l5jryNnDhjk,2025-04-04T11:27:41Z,0
2,ActiveDirectory-101 (بالعربي)(1)| introduction-1,https://www.youtube.com/watch?v=XhxUK1JnCkE&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=2,XhxUK1JnCkE,2025-04-04T11:51:05Z,1
3,ActiveDirectory-101 (بالعربي)(2)| introduction-2,https://www.youtube.com/watch?v=5oPCp16u4oY&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=3,5oPCp16u4oY,2025-04-04T11:53:32Z,2
4,ActiveDirectory-101 (بالعربي)(3) | Authentication Lsass & SAM & NTDS,https://www.youtube.com/watch?v=1WKjes03eTw&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=4,1WKjes03eTw,2025-04-04T11:54:06Z,3
5,ActiveDirectory-101 (بالعربي) (4) | Kerberos Authentication TGT,https://www.youtube.com/watch?v=AiViWZ-kaPA&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=5,AiViWZ-kaPA,2025-04-04T11:54:33Z,4
6,ActiveDirectory-101 (بالعربي) (5) | Kerberos Authentication TGS,https://www.youtube.com/watch?v=XAnkaKZUAEU&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=6,XAnkaKZUAEU,2025-04-04T12:02:05Z,5
7,ActiveDirectory-101 (بالعربي) (6) | NTLM v2 Authentication,https://www.youtube.com/watch?v=wRlf6UrMiRM&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=7,wRlf6UrMiRM,2025-04-04T12:04:15Z,6
8,ActiveDirectory-101 (بالعربي) (7) | Authentication VS Authorization / ACL & ACE & Access Tokens,https://www.youtube.com/watch?v=lQ62fIBQB0Y&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=8,lQ62fIBQB0Y,2025-04-04T12:04:22Z,7
9,ActiveDirectory-101 (بالعربي)(8)| Building the Lab Part-1,https://www.youtube.com/watch?v=Ptafjei0hJg&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=9,Ptafjei0hJg,2025-04-04T12:08:49Z,8
10,ActiveDirectory-101 (بالعربي)(9)| Building the Lab Part-2,https://www.youtube.com/watch?v=enKb_oSgEzM&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=10,enKb_oSgEzM,2025-04-04T12:11:49Z,9
11,ActiveDirectory-101 (بالعربي)(10)| Building the Lab Part-3,https://www.youtube.com/watch?v=MuGct8zUWlg&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=11,MuGct8zUWlg,2025-04-04T12:11:55Z,10
12,ActiveDirectory-101 (بالعربي)(11)| Building the Lab Part-4,https://www.youtube.com/watch?v=3zWtbtzvtT4&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=12,3zWtbtzvtT4,2025-04-04T12:12:01Z,11
13,ActiveDirectory-101 (بالعربي)(12)| GreenADtoolKit,https://www.youtube.com/watch?v=6x-dvcyfziI&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=13,6x-dvcyfziI,2025-04-04T12:18:17Z,12
14,ActiveDirectory-101 (بالعربي)(13)| AMSI & Execution Policy,https://www.youtube.com/watch?v=oiRTjHZ2NXc&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=14,oiRTjHZ2NXc,2025-04-04T12:21:22Z,13
15,ActiveDirectory-101 (بالعربي)(14)| Manual Enumeration Using net.exe,https://www.youtube.com/watch?v=WJM2afHBBy8&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=15,WJM2afHBBy8,2025-04-04T12:21:31Z,14
16,ActiveDirectory-101 (بالعربي)(15)| Manual Enumeration Using LDAP,https://www.youtube.com/watch?v=lj2RxCq2dxw&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=16,lj2RxCq2dxw,2025-04-04T12:25:33Z,15
17,ActiveDirectory-101 (بالعربي)(16)| Enumeration Using PowerView,https://www.youtube.com/watch?v=8tWyqBPuZnQ&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=17,8tWyqBPuZnQ,2025-04-04T12:28:18Z,16
18,ActiveDirectory-101 (بالعربي)(17)| Enumeration Using PsLoggedon,https://www.youtube.com/watch?v=fPAoKAiDq30&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=18,fPAoKAiDq30,2025-04-04T12:28:32Z,17
19,ActiveDirectory-101 (بالعربي)(18)| Password attack,https://www.youtube.com/watch?v=MtuOWHS8kmE&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=19,MtuOWHS8kmE,2025-04-04T12:28:54Z,18
20,ActiveDirectory-101 (بالعربي)(19)| AS REP Roasting,https://www.youtube.com/watch?v=76sS2CJZno8&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=20,76sS2CJZno8,2025-04-04T12:32:06Z,19
21,ActiveDirectory-101 (بالعربي)(20)| Kerberoasting (SPN),https://www.youtube.com/watch?v=Te5JaWjxytU&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=21,Te5JaWjxytU,2025-04-04T12:35:07Z,20
22,ActiveDirectory-101 (بالعربي)(21)| Mimikatz,https://www.youtube.com/watch?v=uraVxY0Vgzs&list=PLyyAUp-Erl9WhBzp1ma2NzYQEb1nfQM1t&index=22,uraVxY0Vgzs,2025-04-04T12:35:25Z,21
