Title,URL,Upload Date,Views
"Lesson 00 | مقدمة و منهج الكورس","https://www.youtube.com/watch?v=NlAgOD_vmYU&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=1&pp=iAQB","2 weeks ago","235"
"Lesson 01 | Introduction to Threat Modeling with Threat Canvas شرح عملي","https://www.youtube.com/watch?v=GdyMJKk7vkQ&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=2&pp=iAQB","8 months ago","2.2"
"Lesson 02 | Threat Modeling with Threat Dragon شرح عملي","https://www.youtube.com/watch?v=LqyqygCftgY&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=3&pp=iAQB","8 months ago","1.6"
"Lesson 03 | Top 10 OWASP CI/CD & DevSecOps Risks!","https://www.youtube.com/watch?v=tMqiHh9Bp9Q&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=4&pp=iAQB","8 months ago","1.3"
"Lesson 04 | Secure Source Code Control يعني ايه","https://www.youtube.com/watch?v=8owIAmgi-JU&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=5&pp=iAQB","8 months ago","993"
"Lesson 05 | Supply Chain Attacks الاختراق اللي إنت مش سببه","https://www.youtube.com/watch?v=mF73bF4re1w&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=6&pp=iAQB","7 months ago","332"
"Lesson 06 | Security Testing vs QA Testing: الفرق اللي يهمك بجد","https://www.youtube.com/watch?v=1Z4euy3HLq0&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=7&pp=iAQB","7 months ago","549"
"Lesson 07 | حاجات المبرمج مبيفكرش فيها والهكر بيستناها","https://www.youtube.com/watch?v=Xkt1VGfZL5g&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=8&pp=iAQB","3 weeks ago","245"
"Lesson 08 |  إزاي تخلي الكود بتاعك آمن 100%؟","https://www.youtube.com/watch?v=WEL1marEwN4&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=9&pp=iAQB","3 weeks ago","219"
"Lesson 09 | الهاكر مش بيبدأ من الكود.. بيبدأ من هنا","https://www.youtube.com/watch?v=GsSQDixfdh0&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=10&pp=iAQB","3 weeks ago","452"
"Lesson 10 | التصميم الغلط بيكلفك اختراق | Application Secure Design Principles","https://www.youtube.com/watch?v=rMqCPVPVuPU&list=PLnEu5z2HM4uyIl-361XCrPR-WV0iLGvT4&index=11&pp=iAQB","2 weeks ago","253"
