Title,URL,Upload Date,Views
"الحلقة العاشرة | كورس Application Security | الـ Recon الجزء الثاني","https://www.youtube.com/watch?v=9ucTCpJkThA&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=1&pp=iAQB","1 month ago","3.3"
"الحلقة التاسعة | كورس Application Security | الـ Recon الجزء الاول","https://www.youtube.com/watch?v=8fZTdOqoRSI&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=2&pp=iAQB0gcJCU0KAYcqIYzv","2 months ago","4"
"الحلقة الثامنة | كورس Application Security | معايير اختيار السيرفر الآمن لتطبيقك","https://www.youtube.com/watch?v=sdU1NM2nEgM&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=3&pp=iAQB","2 months ago","2.3"
"الدرس السابع | ازاي بنحدد طريقة الشغل ؟ | Application Security","https://www.youtube.com/watch?v=Ub6w68iMoh4&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=4&pp=iAQB","2 months ago","2.9"
"الدرس السادس | ازاي المواقع بتشتغل ؟ | Application Security","https://www.youtube.com/watch?v=fvP8_gvPCTk&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=5&pp=iAQB","2 months ago","4.7"
"الدرس الخامس | لينكس الجزء الثالث - طبقنا علي TryHackMe | اختبار اختراق تطبيقات الويب | Web Security","https://www.youtube.com/watch?v=5MQLU6rcBxE&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=6&pp=iAQB","3 months ago","2.9"
"الدرس الرابع | لينكس الجزء التاني - طبقنا علي TryHackMe | اختبار اختراق تطبيقات الويب | Web Security","https://www.youtube.com/watch?v=4bG119yD5fg&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=7&pp=iAQB","3 months ago","3.5"
"الدرس الثالث | اوامر لينكس - الجزء الاول  | اختبار اختراق تطبيقات الويب | Web Security","https://www.youtube.com/watch?v=LHd3nquhOYQ&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=8&pp=iAQB","3 months ago","4.8"
"الدرس الثاني |  ازاي نستخدم لينكس و VM ؟ | اختبار اختراق تطبيقات الويب | Web Security","https://www.youtube.com/watch?v=Xi5QyMHM8AI&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=9&pp=iAQB0gcJCU0KAYcqIYzv","3 months ago","4.7"
"الدرس الاول |  لية لينكس ؟ | اختبار اختراق تطبيقات الويب | Web Security","https://www.youtube.com/watch?v=a9Xm1yK42Ng&list=PLhgtN5PV5kNSSzexP3wnRuwkLD2X6p_bE&index=10&pp=iAQB","4 months ago","10"
