Title,URL,Upload Date,Views
"مدخل وشرح نظري الى حقن مكاتب الـDLL","https://www.youtube.com/watch?v=S_JJ_WQFV4g&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=1&t=2s&pp=iAQB","1 year ago","1.3"
"كتابة كود سي لعمل حقن لمكاتب الـDLL","https://www.youtube.com/watch?v=pPBl4BtPBC4&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=2&pp=iAQB","1 year ago","880"
"جاوبت اسئلتكم بخصوص الهندسة العكسية","https://www.youtube.com/watch?v=y4uaRdeE_BU&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=3&pp=iAQB","1 year ago","2.1"
"وحدة من الطرق المستعملة في حماية الكود | Code obfuscation","https://www.youtube.com/watch?v=kNx7FMoVnnY&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=4&pp=iAQB","1 year ago","1.1"
"ليش الالعاب مليانه غشاشين وهل صعب تسوي برنامج غش ؟","https://www.youtube.com/watch?v=lAxXzumPbLI&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=5&pp=iAQB","1 year ago","1.2"
"سويت لك المكان المثالي عشان تبدأ CTF!","https://www.youtube.com/watch?v=g9p7HtNVkrQ&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=6&pp=iAQB","1 year ago","822"
"البوينترز - تعال اشرحلك المؤشرات بابسط شكل","https://www.youtube.com/watch?v=OP9GXyCfag0&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=7&pp=iAQB","1 year ago","696"
"تطوير البرمجيات الخبيثة | Function obfuscation part1","https://www.youtube.com/watch?v=5jevNi3leEA&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=8&pp=iAQB","10 months ago","1.1"
"تطوير البرمجيات الخبيثة | كتابة shellcode","https://www.youtube.com/watch?v=uQDjm_1_NpE&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=9&pp=iAQB","9 months ago","1.2"
"تطوير البرمجيات الخبيثة | Function obfuscation part 2","https://www.youtube.com/watch?v=B0oFJEZsgGE&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=10&pp=iAQB","5 months ago","631"
"سويت لكم المكان المثالي عشان تتعلموا هندسة عكسية وتفوزوا بجوائز!","https://www.youtube.com/watch?v=Tv0fjv3Xq6U&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=11&pp=iAQB","5 months ago","719"
"تطوير البرمجيات الخبيثة | WinAPI Function obfuscation pt.3","https://www.youtube.com/watch?v=waG7ps2r7wg&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=12&pp=iAQB","5 months ago","574"
"شهادة اختبار اختراق مجانية؟ | مراجعة موقع Hackviser","https://www.youtube.com/watch?v=hh9VEdF2iP0&list=PLzp8FYHY3OhJ8B1b5lCgoON61AKbwEPUv&index=13&pp=iAQB0gcJCU0KAYcqIYzv","3 months ago","1.7"
