Title,URL,Upload Date,Views
"MySQL Database Tutorial 1 : Introduction To MySQL (in  HINDI)","https://www.youtube.com/watch?v=R59xA4-kTKo&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=1&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","199"
"MySQL Tutorial 2 : Insert and Select Queries in MySQL","https://www.youtube.com/watch?v=nVjQjtAUTn8&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=2&pp=iAQB","5 years ago","41"
"MySQL Database Tutorial 3: More on select queries - 1","https://www.youtube.com/watch?v=e2GUGDMxBZc&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=3&pp=iAQB","5 years ago","35"
"MySQL Database Tutorial 4 : Some more on select queries - 2","https://www.youtube.com/watch?v=1YDz3hJM5t4&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=4&pp=iAQB","5 years ago","27"
"MySQL Tutorial 6 : Alter Commands","https://www.youtube.com/watch?v=x9QdneALNW0&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=5&pp=iAQB","5 years ago","30"
"MySQL Tutorial 7 : MySQL Function - 1","https://www.youtube.com/watch?v=g0n0SiCi2us&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=6&pp=iAQB","5 years ago","23"
"MySQL Tutorial 8 : MySQL Functions - 2","https://www.youtube.com/watch?v=hhBKMlmO_Go&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=7&pp=iAQB","5 years ago","19"
"MySQL Tutorial 9 : Constraints - 1","https://www.youtube.com/watch?v=XjxAk7ipEkQ&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=8&pp=iAQB","5 years ago","27"
"MySQL Tutorial 10 : Constraints -2","https://www.youtube.com/watch?v=BwTrfvJhzr0&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=9&pp=iAQB","5 years ago","22"
"MySQL Tutorial 11 : MySQL Join - 1(Cartesian Product)","https://www.youtube.com/watch?v=YKxC9ghd1I0&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=10&pp=iAQB","5 years ago","33"
"MySQL Tutorial 12 : MySQL Join - 2(Equi Join)","https://www.youtube.com/watch?v=oVDEWV9wCNA&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=11&pp=iAQB","5 years ago","18"
"MySQL Tutorial 13 : MySQL Join - 3(Inner Join)","https://www.youtube.com/watch?v=JTijJ-Yls44&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=12&pp=iAQB","5 years ago","8"
"MySQL Tutorial 14 : MySQL Join - 4(Left And Right Join)","https://www.youtube.com/watch?v=Eh-DM5NBJHY&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=13&pp=iAQB","5 years ago","8"
"MySQL Tutorial 15 : MySQL Joins - 5(Natural Join)","https://www.youtube.com/watch?v=DFtHx34XPLA&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=14&pp=iAQB","5 years ago","25"
"MySQL Tutorial  : Group By Clause","https://www.youtube.com/watch?v=FVnxtOg2b3k&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=15&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","7"
"MySQL Tutorial 17 :Having Clause","https://www.youtube.com/watch?v=9EaeQwQUuqI&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=16&pp=iAQB","5 years ago","8"
"MySQL Tutorial 18 : ROLLUP clause","https://www.youtube.com/watch?v=08kTyrY8doA&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=17&pp=iAQB","5 years ago","783"
"MySQL Tutorial 19 : SUBQUERY","https://www.youtube.com/watch?v=VEmTJhtupsU&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=18&pp=iAQB","5 years ago","16"
"MySQL Tutorial 20 : UNIQUE and UNIQUE ALL operators","https://www.youtube.com/watch?v=keLcJU4HbcY&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=19&pp=iAQB","5 years ago","16"
"MySQL Tutorial 20 : Prepared Statement","https://www.youtube.com/watch?v=1WNjlKJd5dY&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=20&pp=iAQB","5 years ago","265"
"MySQL Tutorial 21 :  MySQL Transaction","https://www.youtube.com/watch?v=g6PLlg-k7Yg&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=21&pp=iAQB","5 years ago","58"
"MySQL Tutorial 22 : Rollback","https://www.youtube.com/watch?v=FEAl5yL7Mfk&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=22&pp=iAQB","5 years ago","125"
"MySQL Tutorial 23 : Stored Procedure","https://www.youtube.com/watch?v=wr_sXnDw4K4&list=PL2Zf_nedn4FmZxAJ2aNipCy-u4Z8EzP6w&index=23&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","23"
