Title,URL,Upload Date,Views
"Python Tutorial 1: Introduction","https://www.youtube.com/watch?v=Yt_JAr3bKM8&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=1&pp=iAQB","5 years ago","272"
"Python Tutorial 2: Learning Variables","https://www.youtube.com/watch?v=00YogJ_AQIE&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=2&pp=iAQB","5 years ago","88"
"Python Tutorial 3: Getting inputs","https://www.youtube.com/watch?v=LXp5Nw6TXu0&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=3&pp=iAQB","5 years ago","45"
"Python tutorial 4: strings and numbers","https://www.youtube.com/watch?v=T5IJS_2dXrw&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=4&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","47"
"Python Tutorial 5: Lists","https://www.youtube.com/watch?v=jpwD-oym0TA&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=5&pp=iAQB","5 years ago","42"
"Python Tutorial 6: Tuples","https://www.youtube.com/watch?v=rzE9Q5NGpjg&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=6&pp=iAQB","5 years ago","48"
"Python Tutorial 7: Dictionaries","https://www.youtube.com/watch?v=66k--P-SAK8&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=7&pp=iAQB","5 years ago","35"
"Python Tutorial 8 : Comments, Sets And Boolean","https://www.youtube.com/watch?v=TJzNdx2pBxI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=8&pp=iAQB","5 years ago","29"
"Python Tutorial 9 : Memorizing The Logic","https://www.youtube.com/watch?v=jnIHyJ_ZB9A&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=9&pp=iAQB","5 years ago","63"
"Python Tutorial 10: if statements","https://www.youtube.com/watch?v=mDEBN7UNVsY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=10&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","42"
"Python Tutorial 11: Else statement","https://www.youtube.com/watch?v=oad7yzvEh3U&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=11&pp=iAQB","5 years ago","33"
"Python tutorial 12 : Doing simple programs","https://www.youtube.com/watch?v=bECWBpLauDU&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=12&pp=iAQB","5 years ago","49"
"Python Tutorial 13: Simple Calculator from what we have learnt","https://www.youtube.com/watch?v=LJ4nwt1u_mE&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=13&pp=iAQB","5 years ago","25"
"Python Tutorial 14 : Loops-For loops -1","https://www.youtube.com/watch?v=E5eIoEvawbk&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=14&pp=iAQB","5 years ago","33"
"Python Tutorial 15 : For loops - 2","https://www.youtube.com/watch?v=ffDmQmXAwhM&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=15&pp=iAQB","5 years ago","29"
"Python tutorial 16 : Continue Statements and some more looping","https://www.youtube.com/watch?v=K6MXGgrrvpM&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=16&pp=iAQB","5 years ago","27"
"Python Tutorial 17 : Break statement  and  some more looping","https://www.youtube.com/watch?v=mQuMcJ-uud8&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=17&pp=iAQB","5 years ago","22"
"Python tutorial 18 : Nested For Loops","https://www.youtube.com/watch?v=x2n-fzc8DUw&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=18&pp=iAQB","5 years ago","22"
"Python Tutorial 19 : Mini Series-1( Triangle pattern-1)","https://www.youtube.com/watch?v=4kVAe49vkxI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=19&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","17"
"Python Tutorial 20 : Mini Series - 2(Triangle pattern - 2)","https://www.youtube.com/watch?v=WGvPz0XvqhY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=20&pp=iAQB","5 years ago","17"
"Python Tutorial 21 : Mini Series - 3 (Pyramid Pattern)","https://www.youtube.com/watch?v=MaU9QxiRbqY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=21&pp=iAQB","5 years ago","25"
"Python Tutorial 22 : Mini Series - 4(Reverse Pyramid)","https://www.youtube.com/watch?v=QsHeaScB5yE&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=22&pp=iAQB","5 years ago","10"
"Python Tutorial 23 : Mini Series - 5(Most difficult pattern till now)","https://www.youtube.com/watch?v=b-Dn30WLylo&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=23&pp=iAQB","5 years ago","18"
"Python Tutorial 24 : Mini Series - 6(Reverse Empty Pyramid)","https://www.youtube.com/watch?v=rA46bKwyr9Q&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=24&pp=iAQB","5 years ago","23"
"Python Tutorial 25 : What is Range????","https://www.youtube.com/watch?v=uvAVCTg0vMs&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=25&pp=iAQB","5 years ago","22"
"Python Tutorial 26 : Inserting Keys And Values To a Dictionary","https://www.youtube.com/watch?v=RX1CWFFlEp8&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=26&pp=iAQB","5 years ago","763"
"Python Tutorial 27 : While Loops - 1","https://www.youtube.com/watch?v=hAK74JTIWJg&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=27&pp=iAQB","5 years ago","56"
"Python Tutorial 28 : While Loop - 2","https://www.youtube.com/watch?v=fVGpyOi8OSY&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=28&pp=iAQB","5 years ago","29"
"Python Tutorial 29 : List , Tuples with While Loop","https://www.youtube.com/watch?v=1eOswO8JlEg&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=29&pp=iAQB","5 years ago","724"
"Python Tutorial 30: Dictionaries And While Loops","https://www.youtube.com/watch?v=I0Ziim_9lqc&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=30&pp=iAQB","5 years ago","4.6"
"Python Tutorial 31: Nested While Loops","https://www.youtube.com/watch?v=D_totfvNytw&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=31&pp=iAQB","5 years ago","4.6"
"Python Tutorial 32 : Functions - 1","https://www.youtube.com/watch?v=nh-4pMuCVWI&list=PL2Zf_nedn4FlmDu55WNv3ilUOZ8eAi9A4&index=32&pp=iAQB0gcJCU0KAYcqIYzv","5 years ago","130"
