Title,URL,Upload Date,Views
"كورس شرح سي بلس بلس متكامل في 5 ساعات | C++ Full Course in 5 Hours (Arabic)","https://www.youtube.com/watch?v=07AC2Syf4Yg&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=1&pp=iAQB","1 year ago","292"
"تطبيق عملي على اللينكد ليست بلغة السي بلس بلس | Linked List Exercise - Cashier Queue in C++ (Arabic)","https://www.youtube.com/watch?v=Sa-6b0SY6w8&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=2&pp=iAQB","N/A","N/A"
"ازاي تحذف نود من اللينكد ليست في السي بلس بلس | Remove from Linked List in C++ (Arabic)","https://www.youtube.com/watch?v=9_wUHGD_2Wo&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=3&pp=iAQB","N/A","N/A"
"شرح تفصيلي للينكد ليست بلغة السي بلس بلس | Linked List in C++ (Arabic)","https://www.youtube.com/watch?v=-7k4Zks-6ys&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=4&pp=iAQB","N/A","N/A"
"كورس سي بلس بلس - الحلقات | Loops (for / while / do-while) (#6)","https://www.youtube.com/watch?v=9X5R5tvQAes&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=5&pp=iAQB","3 weeks ago","839"
"كورس سي بلس بلس - العمليات الحسابية | Operators in C++ (#3)","https://www.youtube.com/watch?v=XoF3VxEBqNw&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=6&pp=iAQB","1 month ago","928"
"كورس سي بلس بلس - مقدمة | Introduction to C++ (#0)","https://www.youtube.com/watch?v=aptLZMsu2Vo&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=7&pp=iAQB","1 month ago","3.9"
"كورس سي بلس بلس - إعداد بيئة العمل | Environment Setup (#1)","https://www.youtube.com/watch?v=_11Iu9DbzJA&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=8&pp=iAQB","1 month ago","2.5"
"كورس سي بلس بلس - المتغيرات وأنواع البيانات | Variables & Data Types (#2)","https://www.youtube.com/watch?v=KyxSi_MPgUI&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=9&pp=iAQB","1 month ago","941"
"كورس سي بلس بلس - التحكم في سير البرنامج | Control Structure (if/else) (#4)","https://www.youtube.com/watch?v=QNN2eTt0faE&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=10&pp=iAQB","4 weeks ago","746"
"كورس سي بلس بلس - سويتش كيس | Switch Case in C++ (#5)","https://www.youtube.com/watch?v=cMGvp4cJ_vs&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=11&pp=iAQB","3 weeks ago","755"
"كورس سي بلس بلس - المؤشرات | Pointers Explained (#7)","https://www.youtube.com/watch?v=jGU3JGT48Cg&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=12&pp=iAQB","3 weeks ago","1.4"
"كورس سي بلس بلس - المراجع | References in C++ (#8)","https://www.youtube.com/watch?v=HAGxwEZVX3I&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=13&pp=iAQB","3 weeks ago","688"
"كورس سي بلس بلس - الدوال | Functions in C++ (#9)","https://www.youtube.com/watch?v=DHACB9cY_sk&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=14&pp=iAQB","2 weeks ago","814"
"كورس سي بلس بلس - المصفوفات | Arrays in C++ (#10)","https://www.youtube.com/watch?v=bQX6v_pUXfg&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=15&pp=iAQB","2 weeks ago","814"
"كورس سي بلس بلس - البرمجة الكائنية | OOP (#11)","https://www.youtube.com/watch?v=_63ZRRYhk00&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=16&pp=iAQB","2 weeks ago","954"
"كورس سي بلس بلس - التركيبات | Structs in C++ (#12)","https://www.youtube.com/watch?v=out_uWZl-sE&list=PL8q8h6vqfkSUwLA5osQjAgdzC2RH00CKt&index=17&pp=iAQB","13 days ago","523"
